"part","design","scenario","k","N","fail_glmmTMB","power_glmmTMB","rho","N_eff","flag_fail","flag_small","unreliable"
"Part 1: power (equal cost)","C = 200","J-shape (rho=0.048)",1,200,0,0.88,0.0476190476190476,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Unimodal (rho=0.024)",1,200,0,0.873,0.024390243902439,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Mild-U (rho=0.500)",1,200,0,0.873,0.5,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Strong-U (rho=0.833)",1,200,0,0.879,0.833333333333333,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","J-shape (rho=0.048)",1,300,0,0.951,0.0476190476190476,300,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Unimodal (rho=0.024)",1,300,0,0.947,0.024390243902439,300,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Mild-U (rho=0.500)",1,300,0,0.935,0.5,300,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Strong-U (rho=0.833)",1,300,0,0.956,0.833333333333333,300,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",1,400,0,0.994,0.0476190476190476,400,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",1,400,0,0.995,0.024390243902439,400,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Mild-U (rho=0.500)",1,400,0,0.992,0.5,400,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Strong-U (rho=0.833)",1,400,0,0.986,0.833333333333333,400,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","J-shape (rho=0.048)",3,66,0.451,0.65391621129326,0.0476190476190476,181,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Unimodal (rho=0.024)",3,66,0.491,0.671905697445973,0.024390243902439,189,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Mild-U (rho=0.500)",3,66,0.055,0.51957671957672,0.5,99,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Strong-U (rho=0.833)",3,66,0.026,0.415811088295688,0.833333333333333,74,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","J-shape (rho=0.048)",3,100,0.345,0.902290076335878,0.0476190476190476,274,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Unimodal (rho=0.024)",3,100,0.412,0.899659863945578,0.024390243902439,286,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Mild-U (rho=0.500)",3,100,0.012,0.694331983805668,0.5,150,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Strong-U (rho=0.833)",3,100,0.004,0.567269076305221,0.833333333333333,112,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",3,133,0.319,0.972099853157122,0.0476190476190476,364,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",3,133,0.397,0.980099502487562,0.024390243902439,380,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Mild-U (rho=0.500)",3,133,0.005,0.836180904522613,0.5,200,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Strong-U (rho=0.833)",3,133,0.002,0.716432865731463,0.833333333333333,150,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","J-shape (rho=0.048)",5,40,0.374,0.637380191693291,0.0476190476190476,168,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Unimodal (rho=0.024)",5,40,0.477,0.684512428298279,0.024390243902439,182,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Mild-U (rho=0.500)",5,40,0.067,0.366559485530547,0.5,67,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","Strong-U (rho=0.833)",5,40,0.093,0.14773980154355,0.833333333333333,46,FALSE,TRUE,TRUE
"Part 1: power (equal cost)","C = 300","J-shape (rho=0.048)",5,60,0.233,0.889178617992177,0.0476190476190476,252,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Unimodal (rho=0.024)",5,60,0.334,0.902402402402402,0.024390243902439,273,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Mild-U (rho=0.500)",5,60,0.023,0.551688843398158,0.5,100,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 300","Strong-U (rho=0.833)",5,60,0.024,0.320696721311475,0.833333333333333,69,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",5,80,0.196,0.95771144278607,0.0476190476190476,336,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",5,80,0.328,0.959821428571429,0.024390243902439,364,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Mild-U (rho=0.500)",5,80,0.001,0.651651651651652,0.5,133,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 400","Strong-U (rho=0.833)",5,80,0.007,0.499496475327291,0.833333333333333,92,FALSE,FALSE,FALSE
"Part 1: power (equal cost)","C = 200","J-shape (rho=0.048)",10,20,0.25,0.602666666666667,0.0476190476190476,140,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Unimodal (rho=0.024)",10,20,0.386,0.623778501628665,0.024390243902439,164,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 200","Mild-U (rho=0.500)",10,20,0.115,0.219209039548023,0.5,36,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 200","Strong-U (rho=0.833)",10,20,0.269,0.110807113543092,0.833333333333333,24,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 300","J-shape (rho=0.048)",10,30,0.163,0.800477897252091,0.0476190476190476,210,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Unimodal (rho=0.024)",10,30,0.309,0.856729377713459,0.024390243902439,246,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 300","Mild-U (rho=0.500)",10,30,0.045,0.356020942408377,0.5,55,FALSE,TRUE,TRUE
"Part 1: power (equal cost)","C = 300","Strong-U (rho=0.833)",10,30,0.132,0.165898617511521,0.833333333333333,35,TRUE,TRUE,TRUE
"Part 1: power (equal cost)","C = 400","J-shape (rho=0.048)",10,40,0.142,0.911421911421911,0.0476190476190476,280,TRUE,FALSE,TRUE
"Part 1: power (equal cost)","C = 400","Unimodal (rho=0.024)",10,40,0.271,0.945130315500686,0.024390243902439,328,TRUE,FALSE,TRUE
