"scenario","a","b","C","k","N","dgp","power_glmmTMB","power_naive","fail_glmmTMB"
"J-shape (rho=0.048)",18,2,200,1,200,"betabinom",0.052,0.052,0
"Unimodal (rho=0.024)",36,4,200,1,200,"betabinom",0.058,0.058,0
"Mild-U (rho=0.500)",0.9,0.1,200,1,200,"betabinom",0.056,0.056,0
"Strong-U (rho=0.833)",0.18,0.02,200,1,200,"betabinom",0.057,0.057,0
"J-shape (rho=0.048)",18,2,300,1,300,"betabinom",0.048,0.048,0
"Unimodal (rho=0.024)",36,4,300,1,300,"betabinom",0.045,0.045,0
"Mild-U (rho=0.500)",0.9,0.1,300,1,300,"betabinom",0.038,0.038,0
"Strong-U (rho=0.833)",0.18,0.02,300,1,300,"betabinom",0.04,0.04,0
"J-shape (rho=0.048)",18,2,400,1,400,"betabinom",0.051,0.051,0
"Unimodal (rho=0.024)",36,4,400,1,400,"betabinom",0.042,0.042,0
"Mild-U (rho=0.500)",0.9,0.1,400,1,400,"betabinom",0.056,0.056,0
"Strong-U (rho=0.833)",0.18,0.02,400,1,400,"betabinom",0.065,0.065,0
"J-shape (rho=0.048)",18,2,200,3,66,"betabinom",0.0340740740740741,0.045,0.325
"Unimodal (rho=0.024)",36,4,200,3,66,"betabinom",0.0191972076788831,0.038,0.427
"Mild-U (rho=0.500)",0.9,0.1,200,3,66,"betabinom",0.0531594784353059,0.113,0.003
"Strong-U (rho=0.833)",0.18,0.02,200,3,66,"betabinom",0.034034034034034,0.148,0.001
"J-shape (rho=0.048)",18,2,300,3,100,"betabinom",0.0307486631016043,0.049,0.252
"Unimodal (rho=0.024)",36,4,300,3,100,"betabinom",0.0257731958762887,0.041,0.418
"Mild-U (rho=0.500)",0.9,0.1,300,3,100,"betabinom",0.051,0.119,0
"Strong-U (rho=0.833)",0.18,0.02,300,3,100,"betabinom",0.049,0.152,0
"J-shape (rho=0.048)",18,2,400,3,133,"betabinom",0.0338983050847458,0.06,0.233
"Unimodal (rho=0.024)",36,4,400,3,133,"betabinom",0.0284431137724551,0.045,0.332
"Mild-U (rho=0.500)",0.9,0.1,400,3,133,"betabinom",0.05,0.132,0
"Strong-U (rho=0.833)",0.18,0.02,400,3,133,"betabinom",0.055,0.171,0
"J-shape (rho=0.048)",18,2,200,5,40,"betabinom",0.0241286863270777,0.063,0.254
"Unimodal (rho=0.024)",36,4,200,5,40,"betabinom",0.0245098039215686,0.07,0.388
"Mild-U (rho=0.500)",0.9,0.1,200,5,40,"betabinom",0.0582329317269076,0.191,0.004
"Strong-U (rho=0.833)",0.18,0.02,200,5,40,"betabinom",0.0232323232323232,0.248,0.01
"J-shape (rho=0.048)",18,2,300,5,60,"betabinom",0.0339195979899497,0.058,0.204
"Unimodal (rho=0.024)",36,4,300,5,60,"betabinom",0.0484848484848485,0.055,0.34
"Mild-U (rho=0.500)",0.9,0.1,300,5,60,"betabinom",0.0620620620620621,0.183,0.001
"Strong-U (rho=0.833)",0.18,0.02,300,5,60,"betabinom",0.045,0.252,0
"J-shape (rho=0.048)",18,2,400,5,80,"betabinom",0.0584028605482718,0.086,0.161
"Unimodal (rho=0.024)",36,4,400,5,80,"betabinom",0.0254957507082153,0.046,0.294
"Mild-U (rho=0.500)",0.9,0.1,400,5,80,"betabinom",0.059,0.184,0
"Strong-U (rho=0.833)",0.18,0.02,400,5,80,"betabinom",0.035,0.226,0
"J-shape (rho=0.048)",18,2,200,10,20,"betabinom",0.030808729139923,0.091,0.221
"Unimodal (rho=0.024)",36,4,200,10,20,"betabinom",0.0262345679012346,0.074,0.352
"Mild-U (rho=0.500)",0.9,0.1,200,10,20,"betabinom",0.0885947046843177,0.283,0.018
"Strong-U (rho=0.833)",0.18,0.02,200,10,20,"betabinom",0.0340063761955367,0.316,0.059
"J-shape (rho=0.048)",18,2,300,10,30,"betabinom",0.0413793103448276,0.069,0.13
"Unimodal (rho=0.024)",36,4,300,10,30,"betabinom",0.0423728813559322,0.053,0.292
"Mild-U (rho=0.500)",0.9,0.1,300,10,30,"betabinom",0.0682046138415246,0.26,0.003
"Strong-U (rho=0.833)",0.18,0.02,300,10,30,"betabinom",0.0407747196738022,0.3,0.019
"J-shape (rho=0.048)",18,2,400,10,40,"betabinom",0.050328227571116,0.1,0.086
"Unimodal (rho=0.024)",36,4,400,10,40,"betabinom",0.0390625,0.076,0.232
"Mild-U (rho=0.500)",0.9,0.1,400,10,40,"betabinom",0.075,0.272,0
"Strong-U (rho=0.833)",0.18,0.02,400,10,40,"betabinom",0.0483870967741935,0.298,0.008
"J-shape (rho=0.048)",18,2,200,20,10,"betabinom",0.0456273764258555,0.138,0.211
"Unimodal (rho=0.024)",36,4,200,20,10,"betabinom",0.0276497695852535,0.094,0.349
"Mild-U (rho=0.500)",0.9,0.1,200,20,10,"betabinom",0.0932754880694143,0.376,0.078
"Strong-U (rho=0.833)",0.18,0.02,200,20,10,"betabinom",0.0406290956749672,0.392,0.237
"J-shape (rho=0.048)",18,2,300,20,15,"betabinom",0.0525139664804469,0.112,0.105
"Unimodal (rho=0.024)",36,4,300,20,15,"betabinom",0.0349740932642487,0.086,0.228
"Mild-U (rho=0.500)",0.9,0.1,300,20,15,"betabinom",0.104615384615385,0.342,0.025
"Strong-U (rho=0.833)",0.18,0.02,300,20,15,"betabinom",0.0530973451327434,0.403,0.096
"J-shape (rho=0.048)",18,2,400,20,20,"betabinom",0.0415335463258786,0.114,0.061
"Unimodal (rho=0.024)",36,4,400,20,20,"betabinom",0.048721071863581,0.09,0.179
"Mild-U (rho=0.500)",0.9,0.1,400,20,20,"betabinom",0.0885311871227364,0.368,0.006
"Strong-U (rho=0.833)",0.18,0.02,400,20,20,"betabinom",0.0745798319327731,0.386,0.048
"Binomial (rho=0)",18,2,200,1,200,"binomial",0.07,0.07,0
"Binomial (rho=0)",18,2,300,1,300,"binomial",0.041,0.041,0
"Binomial (rho=0)",18,2,400,1,400,"binomial",0.053,0.053,0
"Binomial (rho=0)",18,2,200,3,66,"binomial",0.03470715835141,0.035,0.539
"Binomial (rho=0)",18,2,300,3,100,"binomial",0.0235294117647059,0.046,0.575
"Binomial (rho=0)",18,2,400,3,133,"binomial",0.0267260579064588,0.053,0.551
"Binomial (rho=0)",18,2,200,5,40,"binomial",0.0204081632653061,0.062,0.559
"Binomial (rho=0)",18,2,300,5,60,"binomial",0.0522875816993464,0.051,0.541
"Binomial (rho=0)",18,2,400,5,80,"binomial",0.0420168067226891,0.065,0.524
"Binomial (rho=0)",18,2,200,10,20,"binomial",0.0273972602739726,0.055,0.562
"Binomial (rho=0)",18,2,300,10,30,"binomial",0.0183908045977011,0.042,0.565
"Binomial (rho=0)",18,2,400,10,40,"binomial",0.0243362831858407,0.048,0.548
"Binomial (rho=0)",18,2,200,20,10,"binomial",0.0133689839572193,0.047,0.626
"Binomial (rho=0)",18,2,300,20,15,"binomial",0.0277777777777778,0.043,0.604
"Binomial (rho=0)",18,2,400,20,20,"binomial",0.0201342281879195,0.049,0.553
