"scenario","a","b","cN","k","N","dgp","power_glmmTMB","power_naive","fail_glmmTMB"
"J-shape (rho=0.048)",19,1,0,1,1000,"betabinom",1,1,0
"Unimodal (rho=0.024)",38,2,0,1,1000,"betabinom",1,1,0
"Mild-U (rho=0.500)",0.95,0.05,0,1,1000,"betabinom",1,1,0
"Strong-U (rho=0.833)",0.19,0.01,0,1,1000,"betabinom",1,1,0
"J-shape (rho=0.048)",19,1,3,1,250,"betabinom",0.926,0.926,0
"Unimodal (rho=0.024)",38,2,3,1,250,"betabinom",0.919,0.919,0
"Mild-U (rho=0.500)",0.95,0.05,3,1,250,"betabinom",0.907,0.907,0
"Strong-U (rho=0.833)",0.19,0.01,3,1,250,"betabinom",0.92,0.92,0
"J-shape (rho=0.048)",19,1,5,1,166,"betabinom",0.806,0.806,0
"Unimodal (rho=0.024)",38,2,5,1,166,"betabinom",0.779,0.779,0
"Mild-U (rho=0.500)",0.95,0.05,5,1,166,"betabinom",0.798,0.798,0
"Strong-U (rho=0.833)",0.19,0.01,5,1,166,"betabinom",0.784,0.784,0
"J-shape (rho=0.048)",19,1,10,1,90,"betabinom",0.511,0.511,0
"Unimodal (rho=0.024)",38,2,10,1,90,"betabinom",0.52,0.52,0
"Mild-U (rho=0.500)",0.95,0.05,10,1,90,"betabinom",0.536,0.536,0
"Strong-U (rho=0.833)",0.19,0.01,10,1,90,"betabinom",0.53,0.53,0
"J-shape (rho=0.048)",19,1,20,1,47,"betabinom",0.322,0.322,0
"Unimodal (rho=0.024)",38,2,20,1,47,"betabinom",0.306,0.306,0
"Mild-U (rho=0.500)",0.95,0.05,20,1,47,"betabinom",0.295,0.295,0
"Strong-U (rho=0.833)",0.19,0.01,20,1,47,"betabinom",0.306,0.306,0
"J-shape (rho=0.048)",19,1,0,3,333,"betabinom",1,1,0.157
"Unimodal (rho=0.024)",38,2,0,3,333,"betabinom",1,1,0.276
"Mild-U (rho=0.500)",0.95,0.05,0,3,333,"betabinom",0.994,0.999,0
"Strong-U (rho=0.833)",0.19,0.01,0,3,333,"betabinom",0.983,0.997,0
"J-shape (rho=0.048)",19,1,3,3,166,"betabinom",0.993243243243243,0.996,0.26
"Unimodal (rho=0.024)",38,2,3,3,166,"betabinom",0.990196078431373,0.996,0.388
"Mild-U (rho=0.500)",0.95,0.05,3,3,166,"betabinom",0.901803607214429,0.971,0.002
"Strong-U (rho=0.833)",0.19,0.01,3,3,166,"betabinom",0.804,0.954,0
"J-shape (rho=0.048)",19,1,5,3,125,"betabinom",0.956343792633015,0.968,0.267
"Unimodal (rho=0.024)",38,2,5,3,125,"betabinom",0.967845659163987,0.975,0.378
"Mild-U (rho=0.500)",0.95,0.05,5,3,125,"betabinom",0.794383149448345,0.919,0.003
"Strong-U (rho=0.833)",0.19,0.01,5,3,125,"betabinom",0.707414829659319,0.898,0.002
"J-shape (rho=0.048)",19,1,10,3,76,"betabinom",0.81063122923588,0.884,0.398
"Unimodal (rho=0.024)",38,2,10,3,76,"betabinom",0.836893203883495,0.899,0.485
"Mild-U (rho=0.500)",0.95,0.05,10,3,76,"betabinom",0.561076604554865,0.811,0.034
"Strong-U (rho=0.833)",0.19,0.01,10,3,76,"betabinom",0.423312883435583,0.773,0.022
"J-shape (rho=0.048)",19,1,20,3,43,"betabinom",0.282926829268293,0.658,0.59
"Unimodal (rho=0.024)",38,2,20,3,43,"betabinom",0.294444444444444,0.691,0.64
"Mild-U (rho=0.500)",0.95,0.05,20,3,43,"betabinom",0.225961538461538,0.659,0.168
"Strong-U (rho=0.833)",0.19,0.01,20,3,43,"betabinom",0.0750853242320819,0.641,0.121
"J-shape (rho=0.048)",19,1,0,5,200,"betabinom",1,1,0.075
"Unimodal (rho=0.024)",38,2,0,5,200,"betabinom",1,1,0.199
"Mild-U (rho=0.500)",0.95,0.05,0,5,200,"betabinom",0.967,0.992,0
"Strong-U (rho=0.833)",0.19,0.01,0,5,200,"betabinom",0.888,0.987,0
"J-shape (rho=0.048)",19,1,3,5,125,"betabinom",0.995418098510882,0.998,0.127
"Unimodal (rho=0.024)",38,2,3,5,125,"betabinom",0.997275204359673,0.999,0.266
"Mild-U (rho=0.500)",0.95,0.05,3,5,125,"betabinom",0.837837837837838,0.971,0.001
"Strong-U (rho=0.833)",0.19,0.01,3,5,125,"betabinom",0.727727727727728,0.954,0.001
"J-shape (rho=0.048)",19,1,5,5,100,"betabinom",0.986601705237515,0.993,0.179
"Unimodal (rho=0.024)",38,2,5,5,100,"betabinom",0.990437158469945,0.993,0.268
"Mild-U (rho=0.500)",0.95,0.05,5,5,100,"betabinom",0.776,0.944,0
"Strong-U (rho=0.833)",0.19,0.01,5,5,100,"betabinom",0.602409638554217,0.915,0.004
"J-shape (rho=0.048)",19,1,10,5,66,"betabinom",0.902439024390244,0.953,0.221
"Unimodal (rho=0.024)",38,2,10,5,66,"betabinom",0.929906542056075,0.969,0.358
"Mild-U (rho=0.500)",0.95,0.05,10,5,66,"betabinom",0.588294651866801,0.866,0.009
"Strong-U (rho=0.833)",0.19,0.01,10,5,66,"betabinom",0.407786885245902,0.842,0.024
"J-shape (rho=0.048)",19,1,20,5,40,"betabinom",0.639705882352941,0.838,0.32
"Unimodal (rho=0.024)",38,2,20,5,40,"betabinom",0.679924242424242,0.881,0.472
"Mild-U (rho=0.500)",0.95,0.05,20,5,40,"betabinom",0.37741935483871,0.756,0.07
"Strong-U (rho=0.833)",0.19,0.01,20,5,40,"betabinom",0.146532438478747,0.73,0.106
"J-shape (rho=0.048)",19,1,0,10,100,"betabinom",0.998984771573604,1,0.015
"Unimodal (rho=0.024)",38,2,0,10,100,"betabinom",1,1,0.112
"Mild-U (rho=0.500)",0.95,0.05,0,10,100,"betabinom",0.824,0.977,0
"Strong-U (rho=0.833)",0.19,0.01,0,10,100,"betabinom",0.610610610610611,0.938,0.001
"J-shape (rho=0.048)",19,1,3,10,76,"betabinom",0.99581589958159,1,0.044
"Unimodal (rho=0.024)",38,2,3,10,76,"betabinom",1,1,0.148
"Mild-U (rho=0.500)",0.95,0.05,3,10,76,"betabinom",0.682,0.938,0
"Strong-U (rho=0.833)",0.19,0.01,3,10,76,"betabinom",0.511044176706827,0.913,0.004
"J-shape (rho=0.048)",19,1,5,10,66,"betabinom",0.991434689507495,0.998,0.066
"Unimodal (rho=0.024)",38,2,5,10,66,"betabinom",0.994011976047904,0.996,0.165
"Mild-U (rho=0.500)",0.95,0.05,5,10,66,"betabinom",0.64128256513026,0.935,0.002
"Strong-U (rho=0.833)",0.19,0.01,5,10,66,"betabinom",0.456852791878173,0.886,0.015
"J-shape (rho=0.048)",19,1,10,10,50,"betabinom",0.962162162162162,0.988,0.075
"Unimodal (rho=0.024)",38,2,10,10,50,"betabinom",0.974522292993631,0.992,0.215
"Mild-U (rho=0.500)",0.95,0.05,10,10,50,"betabinom",0.504568527918782,0.882,0.015
"Strong-U (rho=0.833)",0.19,0.01,10,10,50,"betabinom",0.333673469387755,0.837,0.02
"J-shape (rho=0.048)",19,1,20,10,33,"betabinom",0.826809015421115,0.938,0.157
"Unimodal (rho=0.024)",38,2,20,10,33,"betabinom",0.887303851640514,0.963,0.299
"Mild-U (rho=0.500)",0.95,0.05,20,10,33,"betabinom",0.395397489539749,0.818,0.044
"Strong-U (rho=0.833)",0.19,0.01,20,10,33,"betabinom",0.204081632653061,0.778,0.118
"J-shape (rho=0.048)",19,1,0,20,50,"betabinom",0.991894630192503,1,0.013
"Unimodal (rho=0.024)",38,2,0,20,50,"betabinom",0.998948475289169,1,0.049
"Mild-U (rho=0.500)",0.95,0.05,0,20,50,"betabinom",0.559679037111334,0.934,0.003
"Strong-U (rho=0.833)",0.19,0.01,0,20,50,"betabinom",0.336734693877551,0.882,0.02
"J-shape (rho=0.048)",19,1,3,20,43,"betabinom",0.983789260385005,0.997,0.013
"Unimodal (rho=0.024)",38,2,3,20,43,"betabinom",0.996699669966997,0.999,0.091
"Mild-U (rho=0.500)",0.95,0.05,3,20,43,"betabinom",0.542627883650953,0.902,0.003
"Strong-U (rho=0.833)",0.19,0.01,3,20,43,"betabinom",0.253715498938429,0.854,0.058
"J-shape (rho=0.048)",19,1,5,20,40,"betabinom",0.974541751527495,0.997,0.018
"Unimodal (rho=0.024)",38,2,5,20,40,"betabinom",0.992332968236583,0.998,0.087
"Mild-U (rho=0.500)",0.95,0.05,5,20,40,"betabinom",0.494483450351053,0.903,0.003
"Strong-U (rho=0.833)",0.19,0.01,5,20,40,"betabinom",0.254237288135593,0.85,0.056
"J-shape (rho=0.048)",19,1,10,20,33,"betabinom",0.961894953656025,0.994,0.029
"Unimodal (rho=0.024)",38,2,10,20,33,"betabinom",0.987385321100917,0.998,0.128
"Mild-U (rho=0.500)",0.95,0.05,10,20,33,"betabinom",0.438508064516129,0.859,0.008
"Strong-U (rho=0.833)",0.19,0.01,10,20,33,"betabinom",0.223427331887202,0.81,0.078
"J-shape (rho=0.048)",19,1,20,20,25,"betabinom",0.907741251325557,0.968,0.057
"Unimodal (rho=0.024)",38,2,20,20,25,"betabinom",0.939024390243902,0.976,0.18
"Mild-U (rho=0.500)",0.95,0.05,20,20,25,"betabinom",0.344432882414152,0.802,0.039
"Strong-U (rho=0.833)",0.19,0.01,20,20,25,"betabinom",0.182035928143713,0.766,0.165
