"scenario","cN","k_star","k_opt","N_at_k_opt","power_opt","power_k1","fail_k_opt"
"J-shape (rho=0.048)",0,0,1,1000,1,1,0
"J-shape (rho=0.048)",3,7.7,10,76,0.996,0.926,0.044
"J-shape (rho=0.048)",5,10,10,66,0.991,0.806,0.066
"J-shape (rho=0.048)",10,14.1,10,50,0.962,0.511,0.075
"J-shape (rho=0.048)",20,20,20,25,0.908,0.322,0.057
"Mild-U (rho=0.500)",0,0,1,1000,1,1,0
"Mild-U (rho=0.500)",3,1.7,1,250,0.907,0.907,0
"Mild-U (rho=0.500)",5,2.2,1,166,0.798,0.798,0
"Mild-U (rho=0.500)",10,3.2,5,66,0.588,0.536,0.009
"Mild-U (rho=0.500)",20,4.5,10,33,0.395,0.295,0.044
"Strong-U (rho=0.833)",0,0,1,1000,1,1,0
"Strong-U (rho=0.833)",3,0.8,1,250,0.92,0.92,0
"Strong-U (rho=0.833)",5,1,1,166,0.784,0.784,0
"Strong-U (rho=0.833)",10,1.4,1,90,0.53,0.53,0
"Strong-U (rho=0.833)",20,2,1,47,0.306,0.306,0
"Unimodal (rho=0.024)",0,0,1,1000,1,1,0
"Unimodal (rho=0.024)",3,11,10,76,1,0.919,0.148
"Unimodal (rho=0.024)",5,14.1,10,66,0.994,0.779,0.165
"Unimodal (rho=0.024)",10,20,20,33,0.987,0.52,0.128
"Unimodal (rho=0.024)",20,28.3,20,25,0.939,0.306,0.18
